当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	估计误差能量	
2.030000	-0.048650	-0.004987	0.012209	0.011192	0.000007	0.000012
2.040000	-0.047914	0.000000	0.001604	0.005997	0.000006	0.000019
2.049000	-0.047153	-0.017453	0.011618	0.010376	0.000090	0.000050
2.060000	-0.046282	-0.017453	0.015201	0.017812	0.000145	0.000070
2.070000	-0.045509	-0.017453	0.002416	0.006233	0.000189	0.000086
2.080000	-0.044773	-0.008727	0.001489	0.001391	0.000187	0.000085
2.090000	-0.044025	-0.008727	0.008448	0.008468	0.000171	0.000076
2.100000	-0.043166	0.000000	0.021682	0.030364	0.000117	0.000059
2.110000	-0.042357	0.000000	0.019717	0.016072	0.000070	0.000043
2.120000	-0.041486	0.000000	0.009527	0.008220	0.000031	0.000029
2.130000	-0.040578	-0.004987	0.008270	0.009447	0.000033	0.000029
2.140000	-0.039621	-0.004987	0.010035	0.010434	0.000036	0.000030
2.150000	-0.038763	-0.012467	0.010145	0.003213	0.000053	0.000034
2.160000	-0.037916	0.000000	0.002877	0.004449	0.000042	0.000028
2.170000	-0.037045	0.000000	0.002627	0.001033	0.000036	0.000025
2.180000	-0.036089	0.000000	0.005011	0.007380	0.000035	0.000025
2.190000	-0.035181	-0.008727	0.008078	0.006463	0.000063	0.000036
2.200000	-0.034310	-0.008727	0.011973	0.004093	0.000039	0.000027
2.210000	-0.033439	-0.004987	0.012348	0.015629	0.000036	0.000025
2.220000	-0.032494	-0.004987	0.007318	0.007143	0.000036	0.000024
2.230000	-0.031611	0.000000	0.010973	0.007166	0.000038	0.000024
2.240000	-0.030691	-0.008727	0.000718	0.009913	0.000032	0.000022
2.250000	-0.029747	-0.008727	0.001795	0.001549	0.000027	0.000020
2.259000	-0.028802	0.000000	0.005177	0.006912	0.000028	0.000022
2.270000	-0.027747	-0.004987	0.006895	0.007788	0.000029	0.000022
2.280000	-0.026790	-0.004987	0.012626	0.014102	0.000031	0.000022
2.290000	-0.025772	0.000000	0.009710	0.012808	0.000008	0.000014
2.299000	-0.024730	0.000000	0.009556	0.009885	0.000010	0.000008
2.310000	-0.023577	0.000000	0.005763	0.005300	0.000015	0.000005
2.320000	-0.022534	0.000000	0.003864	0.004216	0.000019	0.000004
2.330000	-0.021503	0.000000	0.003733	0.004431	0.000022	0.000003
2.340000	-0.020424	-0.003491	0.002558	0.000772	0.000014	0.000005
2.350000	-0.019210	0.000000	0.002513	0.002128	0.000014	0.000005
2.360000	-0.018155	0.000000	0.002013	0.002785	0.000013	0.000005
2.370000	-0.017100	0.000000	0.001680	0.001212	0.000012	0.000005
2.380000	-0.016033	0.004987	0.002089	0.001845	0.000007	0.000008
2.390000	-0.014806	0.004987	0.003677	0.002206	0.000016	0.000006
2.400000	-0.013714	0.000000	0.001939	0.004093	0.000010	0.000008
2.410000	-0.012647	0.004987	0.002012	0.001941	0.000010	0.000008
2.420000	-0.011580	0.004987	0.002413	0.002037	0.000011	0.000008
2.430000	-0.010378	0.006981	0.000520	0.000449	0.000014	0.000007
2.440000	-0.009274	0.000000	0.000829	0.001836	0.000002	0.000012
2.450000	-0.008194	0.000000	0.003034	0.001765	0.000009	0.000014
2.460000	-0.007151	0.005818	0.001614	0.000926	0.000008	0.000014
2.470000	-0.005998	0.006981	0.001619	0.002412	0.000009	0.000015
2.480000	-0.004943	0.006981	0.002839	0.002907	0.000008	0.000014
