当前时刻	小车位置	摆杆偏角	指标1	指标2	
4.330000	-0.055458	0.043633	0.018109	0.000320
4.340000	-0.056549	0.043633	0.019848	0.000441
4.350000	-0.057985	0.034907	0.006498	0.000424
4.360000	-0.059334	0.034907	0.009323	0.000409
4.370000	-0.060536	0.034907	0.006628	0.000421
4.380000	-0.061603	0.004987	0.032891	0.000537
4.390000	-0.062695	0.004987	0.014709	0.000575
4.400000	-0.063639	0.010472	0.049312	0.000618
4.410000	-0.064584	0.000000	0.038574	0.000792
4.420000	-0.065418	0.000000	0.061902	0.000908
4.430000	-0.066265	0.014544	0.023218	0.000607
4.440000	-0.066927	0.006981	0.027168	0.000420
4.450000	-0.067626	0.006981	0.004690	0.000354
4.460000	-0.068534	0.000000	0.011776	0.000190
4.471000	-0.069662	0.000000	0.006434	0.000071
4.480000	-0.070607	0.000000	0.001809	0.000079
4.490000	-0.071417	0.000000	0.009692	0.000063
4.500000	-0.072177	0.000000	0.014063	0.000059
4.511000	-0.072925	0.013963	0.014402	0.000080
4.520000	-0.073441	0.000000	0.001799	0.000068
4.530000	-0.073907	0.000000	0.005393	0.000062
4.540000	-0.074459	0.000000	0.006593	0.000064
4.550000	-0.075231	0.000000	0.005375	0.000066
4.560000	-0.076262	0.000000	0.006627	0.000009
4.570000	-0.077206	0.010472	0.010002	0.000076
4.580000	-0.078028	0.013963	0.012561	0.000168
4.590000	-0.078777	0.013963	0.007703	0.000239
4.600000	-0.079635	0.000000	0.008729	0.000237
4.610000	-0.080629	0.000000	0.007873	0.000239
4.620000	-0.081868	0.000000	0.012275	0.000167
4.630000	-0.083193	0.008727	0.046695	0.000170
4.640000	-0.084775	0.008727	0.011881	0.000187
4.650000	-0.086357	0.000000	0.014632	0.000194
4.660000	-0.087854	0.000000	0.011374	0.000205
4.670000	-0.089277	0.000000	0.011305	0.000215
4.680000	-0.090614	0.000000	0.027991	0.000134
4.690000	-0.091583	0.000000	0.016203	0.000052
4.700000	-0.092319	0.000000	0.017394	0.000045
4.710000	-0.093018	0.000000	0.010220	0.000030
4.721000	-0.093963	-0.017453	0.012614	0.000119
4.730000	-0.095030	-0.017453	0.005520	0.000158
4.740000	-0.096306	-0.004987	0.007645	0.000156
4.750000	-0.097569	-0.004987	0.008698	0.000174
4.761000	-0.099041	0.000000	0.005696	0.000251
4.770000	-0.100550	0.000000	0.029844	0.000233
4.780000	-0.102108	0.000000	0.026270	0.000267
4.790000	-0.103764	-0.004987	0.017556	0.000282
4.800000	-0.105371	-0.004987	0.005826	0.000283
4.810000	-0.106916	-0.004987	0.008344	0.000227
4.820000	-0.108180	-0.004987	0.008197	0.000159
4.830000	-0.109468	-0.017453	0.008298	0.000084
4.840000	-0.110780	-0.017453	0.005767	0.000065
4.850000	-0.112289	-0.022440	0.006198	0.000060
4.860000	-0.113737	-0.012467	0.011229	0.000056
4.870000	-0.115258	-0.012467	0.007969	0.000058
4.880000	-0.116779	-0.008727	0.003471	0.000099
4.890000	-0.118398	-0.008727	0.002413	0.000150
4.900000	-0.119956	-0.017453	0.008328	0.000134
4.910000	-0.121538	-0.034907	0.024282	0.000221
4.920000	-0.123010	-0.034907	0.008256	0.000257
4.930000	-0.124531	-0.031416	0.013242	0.000214
4.940000	-0.125881	-0.038397	0.019444	0.000230
4.950000	-0.126948	-0.038397	0.046232	0.000312
4.960000	-0.127622	-0.034907	0.043922	0.000262
4.971000	-0.127892	-0.034907	0.043938	0.000245
4.980000	-0.127941	-0.038397	0.036311	0.000290
4.990000	-0.128052	-0.034907	0.025175	0.000237
5.000000	-0.128248	-0.034907	0.001055	0.000173
5.011000	-0.128481	-0.038397	0.014394	0.000168
5.020000	-0.128555	-0.031416	0.022248	0.000134
5.030000	-0.128530	-0.031416	0.027017	0.000088
5.040000	-0.128383	-0.034907	0.040205	0.000130
5.050000	-0.127954	-0.034907	0.020594	0.000170
5.060000	-0.127279	-0.034907	0.013822	0.000167
5.070000	-0.126825	-0.017453	0.014082	0.000231
5.080000	-0.126641	-0.008727	0.028032	0.000375
5.090000	-0.126617	-0.008727	0.026099	0.000427
5.100000	-0.126617	-0.017453	0.012960	0.000387
5.110000	-0.126629	-0.017453	0.010238	0.000356
5.120000	-0.126641	-0.012467	0.004749	0.000330
5.130000	-0.126690	0.000000	0.086339	0.000418
5.140000	-0.126948	0.000000	0.062440	0.000518
5.150000	-0.127487	0.000000	0.048729	0.000659
5.160000	-0.128113	-0.008727	0.041513	0.000660
5.170000	-0.128616	-0.008727	0.043056	0.000628
5.180000	-0.128972	0.000000	0.005073	0.000469
5.190000	-0.129364	0.000000	0.017781	0.000339
5.200000	-0.129990	0.000000	0.026811	0.000254
5.210000	-0.130812	-0.012467	0.036467	0.000238
5.221000	-0.131707	0.000000	0.034836	0.000291
5.230000	-0.132419	0.000000	0.022233	0.000255
5.240000	-0.133130	0.000000	0.025267	0.000223
