当前时刻	小车位置	摆杆偏角	残差范数	
5.771000	-0.046368	0.000000	0.002550
5.781000	-0.045706	0.000000	0.002097
5.790000	-0.045006	0.013963	0.012219
5.800000	-0.044270	0.000000	0.003993
5.810000	-0.043534	0.000000	0.003472
5.821000	-0.042737	0.013963	0.010957
5.831000	-0.042038	0.011636	0.006529
5.840000	-0.041339	0.011636	0.005120
5.850000	-0.040639	0.009973	0.002278
5.861000	-0.039867	0.008727	0.000411
5.871000	-0.039180	0.008727	0.000229
5.880000	-0.038493	0.004987	0.003833
5.890000	-0.037867	0.004987	0.003254
5.901000	-0.037229	0.004987	0.002709
5.911000	-0.036677	0.008727	0.001537
5.920000	-0.036150	0.008727	0.001295
5.930000	-0.035610	0.014544	0.006899
5.941000	-0.035021	0.027925	0.019053
5.951000	-0.034482	0.027925	0.015598
5.960000	-0.033942	0.017453	0.002177
5.970000	-0.033439	0.002909	0.012948
5.981000	-0.032985	0.002909	0.010693
5.991000	-0.032654	0.004987	0.006539
6.000000	-0.032359	0.004987	0.005070
6.010000	-0.032090	0.020362	0.011567
6.021000	-0.031807	0.006981	0.003519
6.031000	-0.031550	0.006981	0.002647
6.040000	-0.031305	0.021817	0.012949
6.050000	-0.031059	0.004987	0.005908
6.060000	-0.030814	0.004987	0.004663
6.071000	-0.030569	0.027925	0.019381
6.081000	-0.030360	0.008727	0.002982
6.090000	-0.030164	0.008727	0.002295
6.100000	-0.029980	0.002909	0.007466
6.111000	-0.029808	0.013963	0.005221
6.121000	-0.029673	0.013963	0.004660
6.130000	-0.029550	0.004987	0.004826
6.140000	-0.029452	0.004987	0.003661
6.151000	-0.029354	0.002909	0.004722
6.161000	-0.029281	0.006981	0.000588
6.170000	-0.029195	0.006981	0.000895
6.180000	-0.029133	0.021817	0.015945
6.191000	-0.029060	0.014544	0.006156
6.201000	-0.028998	0.014544	0.005251
6.210000	-0.028949	0.014544	0.004500
6.220000	-0.028925	0.014544	0.003898
6.231000	-0.028925	0.014544	0.003433
6.241000	-0.028925	0.014544	0.003092
6.250000	-0.028937	0.009973	0.001751
6.260000	-0.028937	0.009973	0.001125
