当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	deta1	deta2	估计误差	inc11u	inc12u	inc2u	
2.000000	-0.014990	-0.008727	0.000015	0.000020	0.000007	0.000033	0.000410	0.000014	0.000015	0.000020	0.000007
2.010000	-0.015149	-0.008727	0.000038	0.000049	0.000025	0.000051	0.000481	0.000022	0.000038	0.000049	0.000025
2.021000	-0.015333	0.000000	0.000022	0.000026	0.000030	0.000056	0.000614	0.000024	0.000022	0.000026	0.000030
2.031000	-0.015493	0.000000	0.000015	0.000020	0.000034	0.000060	0.000659	0.000025	0.000015	0.000020	0.000034
2.040000	-0.015652	0.000000	0.000029	0.000041	0.000037	0.000063	0.000667	0.000027	0.000029	0.000041	0.000037
2.050000	-0.015787	0.000000	0.000013	0.000012	0.000010	0.000036	0.000661	0.000015	0.000013	0.000012	0.000010
2.061000	-0.015934	0.000000	0.000002	0.000003	0.000007	0.000018	0.000602	0.000007	0.000002	0.000003	0.000007
2.071000	-0.016069	0.000000	0.000009	0.000011	0.000012	0.000013	0.000485	0.000005	0.000009	0.000011	0.000012
2.080000	-0.016204	-0.008727	0.000023	0.000020	0.000009	0.000035	0.000455	0.000015	0.000023	0.000020	0.000009
2.090000	-0.016339	-0.008727	0.000046	0.000047	0.000023	0.000049	0.000499	0.000021	0.000046	0.000047	0.000023
2.101000	-0.016486	0.000000	0.000023	0.000010	0.000028	0.000053	0.000604	0.000023	0.000023	0.000010	0.000028
2.111000	-0.016621	0.000000	0.000042	0.000048	0.000031	0.000057	0.000634	0.000024	0.000042	0.000048	0.000031
2.120000	-0.016744	0.000000	0.000038	0.000041	0.000034	0.000059	0.000634	0.000025	0.000038	0.000041	0.000034
2.130000	-0.016867	0.000000	0.000004	0.000000	0.000010	0.000036	0.000624	0.000015	0.000004	0.000000	0.000010
2.141000	-0.016989	0.000000	0.000013	0.000012	0.000005	0.000021	0.000575	0.000008	0.000013	0.000012	0.000005
2.151000	-0.017100	0.000000	0.000015	0.000019	0.000011	0.000015	0.000478	0.000006	0.000015	0.000019	0.000011
2.160000	-0.017222	-0.004987	0.000004	0.000009	0.000010	0.000016	0.000458	0.000007	0.000004	0.000009	0.000010
2.170000	-0.017333	0.000000	0.000018	0.000014	0.000012	0.000014	0.000474	0.000006	0.000018	0.000014	0.000012
2.181000	-0.017468	0.000000	0.000019	0.000027	0.000013	0.000013	0.000489	0.000005	0.000019	0.000027	0.000013
2.191000	-0.017590	0.000000	0.000020	0.000028	0.000014	0.000012	0.000502	0.000005	0.000020	0.000028	0.000014
2.200000	-0.017725	0.000000	0.000018	0.000022	0.000014	0.000011	0.000512	0.000005	0.000018	0.000022	0.000014
2.210000	-0.017860	0.000000	0.000015	0.000010	0.000020	0.000006	0.000521	0.000002	0.000015	0.000010	0.000020
2.221000	-0.018020	-0.004987	0.000002	0.000001	0.000014	0.000012	0.000524	0.000005	0.000002	0.000001	0.000014
2.231000	-0.018155	-0.008727	0.000046	0.000012	0.000008	0.000033	0.000562	0.000014	0.000046	0.000012	0.000008
